REGION NAME,DISTRICT NAME,NAME OF CANDIDATE,PARTY,PARTY COLOR,VOTES SCORED
SOUTHERN REGION,Balaka,Dr. Bingu Wa Mutharika,UDF,#FCF600,56204
SOUTHERN REGION,Balaka,John Zenasi Ungapake Tembo,MCP,#00A200,2292
SOUTHERN REGION,Machinga,Gwanda Chakuamba,RP,#FF0000,6855
SOUTHERN REGION,Machinga,Justin Chimera ,INDEPENDENT,#948A54,2198
SOUTHERN REGION,Machinga,Brown James Mpinganjira,NDA,#0070C0,9504
SOUTHERN REGION,Machinga,Dr. Bingu Wa Mutharika,UDF,#FCF600,106369
SOUTHERN REGION,Machinga,John Zenasi Ungapake Tembo,MCP,#00A200,2523
SOUTHERN REGION,Zomba,Gwanda Chakuamba,RP,#FF0000,31591
SOUTHERN REGION,Zomba,Justin Chimera ,INDEPENDENT,#948A54,4774
SOUTHERN REGION,Zomba,Brown James Mpinganjira,NDA,#0070C0,25287
SOUTHERN REGION,Zomba,Dr. Bingu Wa Mutharika,UDF,#FCF600,103979
SOUTHERN REGION,Zomba,John Zenasi Ungapake Tembo,MCP,#00A200,2988
SOUTHERN REGION,Chiradzulu,Gwanda Chakuamba,RP,#FF0000,15523
SOUTHERN REGION,Chiradzulu,Justin Chimera ,INDEPENDENT,#948A54,2024
SOUTHERN REGION,Chiradzulu,Brown James Mpinganjira,NDA,#0070C0,16397
SOUTHERN REGION,Chiradzulu,Dr. Bingu Wa Mutharika,UDF,#FCF600,47236
SOUTHERN REGION,Chiradzulu,John Zenasi Ungapake Tembo,MCP,#00A200,1566
SOUTHERN REGION,Blantyre,Gwanda Chakuamba,RP,#FF0000,111077
SOUTHERN REGION,Blantyre,Justin Chimera ,INDEPENDENT,#948A54,2731
SOUTHERN REGION,Blantyre,Brown James Mpinganjira,NDA,#0070C0,25394
SOUTHERN REGION,Blantyre,Dr. Bingu Wa Mutharika,UDF,#FCF600,68328
SOUTHERN REGION,Blantyre,John Zenasi Ungapake Tembo,MCP,#00A200,7535
SOUTHERN REGION,Mwanza,Gwanda Chakuamba,RP,#FF0000,6205
SOUTHERN REGION,Mwanza,Justin Chimera ,INDEPENDENT,#948A54,348
SOUTHERN REGION,Mwanza,Brown James Mpinganjira,NDA,#0070C0,2720
SOUTHERN REGION,Mwanza,Dr. Bingu Wa Mutharika,UDF,#FCF600,6196
SOUTHERN REGION,Mwanza,John Zenasi Ungapake Tembo,MCP,#00A200,1241
SOUTHERN REGION,Thyolo,Gwanda Chakuamba,RP,#FF0000,25968
SOUTHERN REGION,Thyolo,Justin Chimera ,INDEPENDENT,#948A54,2054
SOUTHERN REGION,Thyolo,Brown James Mpinganjira,NDA,#0070C0,22727
SOUTHERN REGION,Thyolo,Dr. Bingu Wa Mutharika,UDF,#FCF600,82471
SOUTHERN REGION,Thyolo,John Zenasi Ungapake Tembo,MCP,#00A200,1627
SOUTHERN REGION,Phalombe,Gwanda Chakuamba,RP,#FF0000,2459
SOUTHERN REGION,Phalombe,Justin Chimera ,INDEPENDENT,#948A54,1217
SOUTHERN REGION,Phalombe,Brown James Mpinganjira,NDA,#0070C0,29699
SOUTHERN REGION,Phalombe,Dr. Bingu Wa Mutharika,UDF,#FCF600,37433
SOUTHERN REGION,Phalombe,John Zenasi Ungapake Tembo,MCP,#00A200,875
SOUTHERN REGION,Mulanje,Gwanda Chakuamba,RP,#FF0000,6092
SOUTHERN REGION,Mulanje,Justin Chimera ,INDEPENDENT,#948A54,2400
SOUTHERN REGION,Mulanje,Brown James Mpinganjira,NDA,#0070C0,66769
SOUTHERN REGION,Mulanje,Dr. Bingu Wa Mutharika,UDF,#FCF600,52049
SOUTHERN REGION,Mulanje,John Zenasi Ungapake Tembo,MCP,#00A200,1816
SOUTHERN REGION,Chikwawa,Gwanda Chakuamba,RP,#FF0000,79561
SOUTHERN REGION,Chikwawa,Justin Chimera ,INDEPENDENT,#948A54,1182
SOUTHERN REGION,Chikwawa,Brown James Mpinganjira,NDA,#0070C0,3299
SOUTHERN REGION,Chikwawa,Dr. Bingu Wa Mutharika,UDF,#FCF600,30121
SOUTHERN REGION,Chikwawa,John Zenasi Ungapake Tembo,MCP,#00A200,1528
SOUTHERN REGION,Nsanje,Gwanda Chakuamba,RP,#FF0000,51002
SOUTHERN REGION,Nsanje,Justin Chimera ,INDEPENDENT,#948A54,609
SOUTHERN REGION,Nsanje,Brown James Mpinganjira,NDA,#0070C0,620
SOUTHERN REGION,Nsanje,Dr. Bingu Wa Mutharika,UDF,#FCF600,18000
SOUTHERN REGION,Nsanje,John Zenasi Ungapake Tembo,MCP,#00A200,629
SOUTHERN REGION,Neno,Gwanda Chakuamba,RP,#FF0000,7945
SOUTHERN REGION,Neno,Justin Chimera ,INDEPENDENT,#948A54,420
SOUTHERN REGION,Neno,Brown James Mpinganjira,NDA,#0070C0,3160
SOUTHERN REGION,Neno,Dr. Bingu Wa Mutharika,UDF,#FCF600,7715
SOUTHERN REGION,Neno,John Zenasi Ungapake Tembo,MCP,#00A200,799
